Tag Length (Average tag length = 50.912893)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000026
4	0.000024
5	0.000028
6	0.000034
7	0.000044
8	0.000045
9	0.000039
10	0.000051
11	0.000042
12	0.000039
13	0.000041
14	0.000039
15	0.000047
16	0.000044
17	0.000036
18	0.000043
19	0.000046
20	0.000049
21	0.000043
22	0.000038
23	0.000043
24	0.000042
25	0.000045
26	0.000052
27	0.000046
28	0.000052
29	0.000045
30	0.000129
31	0.000129
32	0.000197
33	0.000111
34	0.000110
35	0.000140
36	0.000358
37	0.000174
38	0.000159
39	0.000151
40	0.000159
41	0.000313
42	0.000242
43	0.000250
44	0.000203
45	0.000179
46	0.000723
47	0.000596
48	0.000516
49	0.001353
50	0.000030
51	0.992653
