Tags per tag position (Median = 2, tags per genomic bp = 1.776)	Fraction of Positions
0	0.000000
1	0.358270
2	0.224682
3	0.138619
4	0.088532
5	0.057893
6	0.038715
7	0.026226
8	0.018050
9	0.012770
10	0.009069
11	0.006547
12	0.004752
13	0.003547
14	0.002583
15	0.001950
16	0.001499
17	0.001157
18	0.000897
19	0.000678
20	0.000474
21	0.000410
22	0.000336
23	0.000278
24	0.000231
25	0.000158
26	0.000159
27	0.000143
28	0.000109
29	0.000080
30	0.000074
31	0.000071
32	0.000068
33	0.000060
34	0.000045
35	0.000049
36	0.000030
37	0.000044
38	0.000036
39	0.000030
40	0.000031
41	0.000042
42	0.000026
43	0.000022
44	0.000024
45	0.000025
46	0.000026
47	0.000018
48	0.000010
49	0.000014
50	0.000021
51	0.000011
52	0.000012
53	0.000020
54	0.000006
55	0.000015
56	0.000012
57	0.000011
58	0.000010
59	0.000010
60	0.000009
61	0.000006
62	0.000003
63	0.000009
64	0.000003
65	0.000007
66	0.000006
67	0.000007
68	0.000008
69	0.000002
70	0.000004
71	0.000003
72	0.000006
73	0.000005
74	0.000008
75	0.000006
76	0.000008
77	0.000006
78	0.000004
79	0.000004
80	0.000008
81	0.000006
82	0.000006
83	0.000006
84	0.000005
85	0.000001
86	0.000005
87	0.000004
88	0.000004
89	0.000004
90	0.000002
91	0.000002
92	0.000002
93	0.000004
94	0.000006
95	0.000004
96	0.000004
97	0.000000
98	0.000002
99	0.000001
100	0.000007
101	0.000001
102	0.000003
103	0.000002
104	0.000003
105	0.000000
106	0.000001
107	0.000002
108	0.000000
109	0.000003
110	0.000000
111	0.000001
112	0.000002
113	0.000003
114	0.000002
115	0.000000
116	0.000002
117	0.000003
118	0.000000
119	0.000000
120	0.000002
121	0.000001
122	0.000001
123	0.000001
124	0.000001
125	0.000002
126	0.000001
127	0.000002
128	0.000002
129	0.000000
130	0.000001
131	0.000002
132	0.000002
133	0.000001
134	0.000002
135	0.000002
136	0.000001
137	0.000002
138	0.000000
139	0.000000
140	0.000000
141	0.000001
142	0.000001
143	0.000000
144	0.000000
145	0.000000
146	0.000001
147	0.000000
148	0.000003
149	0.000001
150	0.000001
151	0.000000
152	0.000000
153	0.000000
154	0.000002
155	0.000001
156	0.000002
157	0.000000
158	0.000001
159	0.000001
160	0.000001
161	0.000001
162	0.000002
163	0.000002
164	0.000000
165	0.000000
166	0.000000
167	0.000000
168	0.000000
169	0.000002
170	0.000001
171	0.000001
172	0.000002
173	0.000001
174	0.000000
175	0.000000
176	0.000001
177	0.000001
178	0.000000
179	0.000001
180	0.000000
181	0.000000
182	0.000000
183	0.000001
184	0.000000
185	0.000001
186	0.000000
187	0.000000
188	0.000000
189	0.000000
190	0.000000
191	0.000000
192	0.000000
193	0.000000
194	0.000000
195	0.000001
196	0.000000
197	0.000000
198	0.000000
199	0.000000
200	0.000000
201	0.000000
202	0.000000
203	0.000002
204	0.000000
205	0.000000
206	0.000000
207	0.000000
208	0.000000
209	0.000000
210	0.000002
211	0.000000
212	0.000000
213	0.000000
214	0.000001
215	0.000000
216	0.000000
217	0.000000
218	0.000000
219	0.000000
220	0.000000
221	0.000000
222	0.000000
223	0.000000
224	0.000000
225	0.000000
226	0.000000
227	0.000001
228	0.000000
229	0.000000
230	0.000001
231	0.000001
232	0.000000
233	0.000000
234	0.000000
235	0.000000
236	0.000000
237	0.000000
238	0.000000
239	0.000000
240	0.000000
241	0.000000
242	0.000000
243	0.000000
244	0.000000
245	0.000000
246	0.000000
247	0.000001
248	0.000001
249	0.000000
250	0.000000
251	0.000000
252	0.000000
253	0.000000
254	0.000000
255	0.000000
256	0.000000
257	0.000000
258	0.000001
259	0.000000
260	0.000000
261	0.000000
262	0.000000
263	0.000001
264	0.000000
265	0.000000
266	0.000000
267	0.000000
268	0.000000
269	0.000000
270	0.000000
271	0.000000
272	0.000000
273	0.000000
274	0.000000
275	0.000000
276	0.000000
277	0.000000
278	0.000000
279	0.000000
280	0.000000
281	0.000000
282	0.000000
283	0.000000
284	0.000000
285	0.000000
286	0.000000
287	0.000000
288	0.000001
289	0.000001
290	0.000000
291	0.000000
292	0.000000
293	0.000000
294	0.000000
295	0.000000
296	0.000000
297	0.000000
298	0.000000
299	0.000000
300	0.000000
301	0.000000
302	0.000000
303	0.000000
304	0.000000
305	0.000000
306	0.000000
307	0.000000
308	0.000000
309	0.000000
310	0.000000
311	0.000000
312	0.000000
313	0.000000
314	0.000000
315	0.000000
316	0.000000
317	0.000000
318	0.000000
319	0.000000
320	0.000000
321	0.000000
322	0.000000
323	0.000000
324	0.000000
325	0.000000
326	0.000000
327	0.000000
328	0.000000
329	0.000000
330	0.000001
331	0.000000
332	0.000000
333	0.000000
334	0.000000
335	0.000000
336	0.000000
337	0.000000
338	0.000000
339	0.000000
340	0.000000
341	0.000000
342	0.000000
343	0.000000
344	0.000000
345	0.000000
346	0.000000
347	0.000000
348	0.000000
349	0.000001
